September 2020 Contiguous U.S. City Average Temperature,,,,,
Units: Degrees Fahrenheit,,,,,
Missing: -99,,,,,
Location ID,Location,Value,Rank,Anomaly (1981-2010 base period),1981-2010 Mean
USW00093862,"Tupelo, Mississippi",74.8,35,0.9,73.9
USW00003945,"Columbia, Missouri",68.3,19,-0.5,68.8
USW00003947,"Kansas City, Missouri",66.5,14,-1.6,68.1
USW00013995,"Springfield, Missouri",69.7,47,0.5,69.2
USW00013994,"St. Louis, Missouri",70.9,38,-0.2,71.1
USW00024033,"Billings, Montana",62.9,56,2.7,60.2
USW00094008,"Glasgow, Montana",60.2,51,1.3,58.9
USH00243751,"Great Falls, Montana",58.9,105,3.1,55.8
USW00024144,"Helena, Montana",60.9,68,3.3,57.6
USW00024153,"Missoula, Montana",59.2,56,2.2,57
USW00014935,"Grand Island, Nebraska",65.2,40,-0.2,65.4
USW00014941,"Norfolk, Nebraska",64,44,0.5,63.5
USW00024023,"North Platte, Nebraska",63.7,42,0.8,62.9
USW00014942,"Omaha, Nebraska",65.6,27,-1.2,66.8
USW00024028,"Scottsbluff, Nebraska",62.6,71,0,62.6
USW00023185,"Carson City, Nevada",69.4,80,3.7,65.7
USW00024121,"Elko, Nevada",62.9,107,3.4,59.5
USW00023154,"Ely, Nevada",60.1,78,2.7,57.4
USW00023169,"Las Vegas, Nevada",86.3,71,4.1,82.2
USH00266779,"Reno, Nevada",69.4,122,3.6,65.8
USW00014745,"Concord, New Hampshire",61.6,65,0.9,60.7
USW00093730,"Atlantic City, New Jersey",67.9,36,0.7,67.2
USW00023050,"Albuquerque, New Mexico",69.6,53,0.3,69.3
USH00297610,"Roswell, New Mexico",72,72,-0.8,72.8
USH00300042,"Albany, New York",59.7,16,-2.8,62.5
USW00004725,"Binghamton, New York",60.1,47,0.9,59.2
USH00301012,"Buffalo, New York",64.4,103,2.1,62.3
USH00305801,"New York, New York",68.8,96,0.9,67.9
USW00094728,"New York (Central Park), New York",68.8,95,0.8,68
USW00094789,"New York (JFK), New York",68.4,42,1,67.4
USW00014732,"New York (La Guardia), New York",70.1,56,0.6,69.5
USW00014771,"Syracuse, New York",62.2,51,1,61.2
USW00003812,"Asheville, North Carolina",68,44,1.2,66.8
USH00311458,"Cape Hatteras, North Carolina",76.3,72,0.1,76.2
USW00013881,"Charlotte, North Carolina",71.4,33,-0.3,71.7
USW00013723,"Greensboro, North Carolina",68.3,12,-1.7,70
USW00013722,"Raleigh, North Carolina",70.5,29,-0.9,71.4
USW00013748,"Wilmington, North Carolina",75.7,52,1.2,74.5
USW00024011,"Bismarck, North Dakota",60,44,0.6,59.4
USW00024012,"Dickinson, North Dakota",58.3,46,1,57.3
