Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AR-087,Madison County,68.4,50,-0.7,69.1
AR-089,Marion County,69.1,50,-0.8,69.9
AR-091,Miller County,74.2,35,-1.5,75.7
AR-093,Mississippi County,72.4,58,-0.2,72.6
AR-095,Monroe County,73.1,47,-0.9,74
AR-097,Montgomery County,71.4,42,-1.2,72.6
AR-099,Nevada County,73,27,-2,75
AR-101,Newton County,67.8,39,-1.2,69
AR-103,Ouachita County,73.5,36,-1.7,75.2
AR-105,Perry County,72,38,-1.3,73.3
AR-107,Phillips County,73.9,56,-0.3,74.2
AR-109,Pike County,72.3,39,-1.3,73.6
AR-111,Poinsett County,72,49,-0.7,72.7
AR-113,Polk County,70.2,39,-1.5,71.7
AR-115,Pope County,70.1,34,-1.6,71.7
AR-117,Prairie County,72.5,38,-1.4,73.9
AR-119,Pulaski County,72.3,38,-1.5,73.8
AR-121,Randolph County,71,68,0.1,70.9
AR-123,St. Francis County,73,52,-0.7,73.7
AR-125,Saline County,72.2,43,-1.3,73.5
AR-127,Scott County,70.9,39,-1.4,72.3
AR-129,Searcy County,68.3,38,-1.3,69.6
AR-131,Sebastian County,71.9,42,-1.2,73.1
AR-133,Sevier County,73,41,-1.1,74.1
AR-135,Sharp County,70,54,-0.2,70.2
AR-137,Stone County,69.5,50,-0.8,70.3
AR-139,Union County,74.6,51,-0.5,75.1
AR-141,Van Buren County,69.4,38,-1.3,70.7
AR-143,Washington County,69.6,52,-0.4,70
AR-145,White County,71.4,38,-1.5,72.9
AR-147,Woodruff County,71.9,37,-1.4,73.3
AR-149,Yell County,71.3,32,-2,73.3
CA-001,Alameda County,73.1,126,5.9,67.2
CA-003,Alpine County,59.7,126,5.5,54.2
CA-005,Amador County,74.4,126,6.1,68.3
CA-007,Butte County,75.6,126,5.8,69.8
CA-009,Calaveras County,75,126,6,69
CA-011,Colusa County,76.6,126,5.3,71.3
CA-013,Contra Costa County,74.3,125,5.8,68.5
CA-015,Del Norte County,64.9,122,3.5,61.4
CA-017,El Dorado County,70.5,126,6,64.5
CA-019,Fresno County,70.5,124,5.1,65.4
CA-021,Glenn County,75.2,124,4.5,70.7
CA-023,Humboldt County,67.8,126,4.9,62.9
CA-025,Imperial County,90.5,126,5.4,85.1
CA-027,Inyo County,77.5,126,5.6,71.9
CA-029,Kern County,78.5,126,6.5,72
CA-031,Kings County,78,121,4.4,73.6
CA-033,Lake County,72.5,126,5,67.5
CA-035,Lassen County,64,126,6.3,57.7
CA-037,Los Angeles County,77.4,126,7.5,69.9
CA-039,Madera County,71.3,125,5.1,66.2
CA-041,Marin County,66.6,125,5,61.6
CA-043,Mariposa County,71.9,126,6.3,65.6
CA-045,Mendocino County,68.5,124,3.7,64.8
CA-047,Merced County,76.3,124,4.8,71.5
CA-049,Modoc County,64.1,126,7.2,56.9
CA-051,Mono County,59.4,126,5.1,54.3
CA-053,Monterey County,72.4,126,6.4,66
CA-055,Napa County,73.6,126,5.2,68.4
CA-057,Nevada County,68.6,126,6,62.6
CA-059,Orange County,76.9,124,6.5,70.4
CA-061,Placer County,69.8,126,5.7,64.1
CA-063,Plumas County,62.7,122,4.7,58
CA-065,Riverside County,84.7,126,5.9,78.8
CA-067,Sacramento County,76.6,126,5.1,71.5
CA-069,San Benito County,74.1,126,6.4,67.7
CA-071,San Bernardino County,83.4,126,5.9,77.5
CA-073,San Diego County,77.4,126,6.1,71.3
CA-075,San Francisco County,66.5,123,4.6,61.9
CA-077,San Joaquin County,77.1,126,6.1,71
CA-079,San Luis Obispo County,73.4,125,6.1,67.3
CA-081,San Mateo County,67.1,124,4.8,62.3
CA-083,Santa Barbara County,70.5,123,5.4,65.1
CA-085,Santa Clara County,72.2,126,5.8,66.4
CA-087,Santa Cruz County,68.1,122,4.9,63.2
